master_label	declaration
Vwellposed	SequentialLearning.frechetRootRisk_finite_everywhere_iff
Vwellposed	SequentialLearning.frechetVariance_eq_iInf_dense
Vwellposed	SequentialLearning.posteriorFrechetVariance_ae_eq
Vwellposed	SequentialLearning.posteriorFrechetRisk_toReal_ae_eq_condExp_of_reference
Vwellposed	SequentialLearning.posteriorFrechet_finite_and_integrable
masterlemma	SequentialLearning.frechetRefinementGain_wellPosed
fixedlearning	SequentialLearning.fixedTarget_learning
fixedlearning	SequentialLearning.fixedTarget_refinement
oraclegap	SequentialLearning.actual_binary_oracle_frechet_refinement_closed
maincriterion	SequentialLearning.probabilistic_exact_one_step_learning_criterion
increment	SequentialLearning.residual_after_increment
hilbcriterion	SequentialLearning.hilbert_one_step_learning_criterion
resolved	SequentialLearning.resolved_increment_learning
reducible	SequentialLearning.hilbert_reducible_irreducible_decomposition
reducible	SequentialLearning.conditional_innovation_series
reducible	SequentialLearning.predictableIrreducibleVariance_eq_zero_iff
currentremaining	SequentialLearning.current_target_and_remaining_change
psilip	SequentialLearning.frechetRootRisk_le_add_wasserstein2_add_dist
psilip	SequentialLearning.frechetRootRisk_toReal_abs_sub_le_dist
psilip	SequentialLearning.sqrt_frechetVariance_abs_sub_le_wasserstein2
displacement	SequentialLearning.frechetVariance_completedLaw
displacement	SequentialLearning.regularConditionalLaw_completedKernel
displacement	MeasureTheory.secondCountableTopology_probabilityMeasure
displacement	MeasureTheory.opensMeasurableSpace_probabilityMeasure
displacement	SequentialLearning.wasserstein2_lowerSemicontinuous
displacement	SequentialLearning.wasserstein2LawMeasurable_of_polish
displacement	SequentialLearning.wasserstein2LawMeasurable_pseudometricCompletion
displacement	SequentialLearning.measurable_posteriorDisplacementENN_closed
displacement	SequentialLearning.posteriorDisplacementENN_ae_eq_of_pairRCDs
displacement	SequentialLearning.posteriorDisplacement_sq_le_condExp
displacement	SequentialLearning.posteriorDisplacement_memLp_two_closed
displacement	SequentialLearning.integral_posteriorDisplacement_sq_le_closed
dispbound	SequentialLearning.frechet_posterior_displacement_bound_closed
dispsharp	SequentialLearning.frechetVariance_difference_le_displacement_envelope
dispsharp	SequentialLearning.frechetVariance_displacement_envelope_sharp
dispenvelope	SequentialLearning.frechet_predictable_displacement_envelope_closed
breakeven	SequentialLearning.frechet_break_even_criterion_closed
rotprops	SequentialLearning.unique_rotation_angle_sequence
rotprops	SequentialLearning.rotation_family_one_step_formulas
tailorder	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_conditional_stochastic_domination_sequence
tailsupermart	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_conditional_tail_supermartingale
tailsupermart	SequentialLearning.conditional_tail_refinement
tailloss	SequentialLearning.monotone_nonnegativeExtension
tailloss	SequentialLearning.measurable_nonnegativeExtension
tailloss	SequentialLearning.conditional_increasing_loss_order_nonnegative
tailloss	SequentialLearning.conditional_increasing_loss_supermartingale_nonnegative
tailloss	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_conditional_increasing_loss_supermartingale
threeway	SequentialLearning.threeway
oraclewelldef	SequentialLearning.absorption_oracle_well_defined
oraclestrict	SequentialLearning.oraclestrict
oraclehilbert	SequentialLearning.oraclehilbert
msedecomp	SequentialLearning.exact_mse_decomposition
biasweight	SequentialLearning.discrepancy_weighting_of_bias
msehierarchy	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.monotoneClass_mean_squared_error_hierarchy_complete
mseabsorbing	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.absorbingClass_process_persistence_event
mseabsorbing	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.absorbingClass_process_mse_bound
msefixed	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.fixedClass_process_mse_corollary
greatestfamily	SequentialLearning.HypotheticalSequentialEstimand.canonicalConstraintFamily_greatest
taxonomy	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.existsUnique_estimandClass
taxonomy	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.metric_not_mixedMonotone
taxonomy	SequentialLearning.HypotheticalSequentialEstimand.StructuralPresentation.metric_not_nonabsorbingMonotone
flagspace	SequentialLearning.FlagSpace.measurableSet_flag_eq
flagspace	SequentialLearning.FlagSpace.frechetVariance_eq_project
flagspace	SequentialLearning.FlagSpace.wasserstein2_project_le
flagspace	SequentialLearning.FlagSpace.attachFlagKernel_comp_project
flagspace	SequentialLearning.FlagSpace.liftCoupling_map_values
flagspace	SequentialLearning.FlagSpace.transportL2Cost_liftCoupling
flagspace	SequentialLearning.FlagSpace.couplingsLift
flagspace	SequentialLearning.FlagSpace.wasserstein2_eq_project
flagadmissible	SequentialLearning.StructuralWitnesses.admissibleFlagProcess
obsmaps	SequentialLearning.NoisyObservationModel.card_latentState
bothverdicts	SequentialLearning.NoisyObservationModel.posteriorVarianceOne_eq
bothverdicts	SequentialLearning.NoisyObservationModel.expectedVarianceTwo_eq
bothverdicts	SequentialLearning.NoisyObservationModel.both_verdicts
witnesses	SequentialLearning.StructuralWitnesses.witnesses
witnesses	SequentialLearning.StructuralWitnesses.classEventsMeasurable
flagadmissible	SequentialLearning.Phase3.admissible_flag_process
bothverdicts	SequentialLearning.Phase3.bothverdicts
bothverdicts	SequentialLearning.canonicalConditionalLaw_isRCD
bothverdicts	SequentialLearning.SameEstimandImpossibility.stageLaw_isRCD
bothverdicts	SequentialLearning.SameEstimandImpossibility.stageFrechetVariance_eq_hilbert
bothverdicts	SequentialLearning.SameEstimandImpossibility.flagged_uninformative_all_stages
bothverdicts	SequentialLearning.SameEstimandImpossibility.flagged_uninformative_all_transitions
bothverdicts	SequentialLearning.SameEstimandImpossibility.flagged_information_term
bothverdicts	SequentialLearning.SameEstimandImpossibility.flagged_movement_term
bothverdicts	SequentialLearning.SameEstimandImpossibility.flagged_noisy_verdict
